Carimbo de data/hora,TIPO DE SERVIÇO,CHASSI/PLACA,DATA DA RELIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
21/03/2025 11:12:40,VEICULO USADO  (VU),RID1D49,21/03/2025,,,março
21/03/2025 17:45:14,KIT CONSERVAÇÃO,Hxp6556,21/03/2025,,,março
31/03/2025 11:19:07,VEICULO NOVO  (VN),Ssn2f66,31/03/2025,,,março
31/03/2025 14:54:18,LAVAGEM SIMPLES,TIJ0E11,31/03/2025,,,março
31/03/2025 16:30:09,LAVAGEM ESPECIAL,Rwu9i20,31/03/2025,,,março
31/03/2025 17:11:21,LAVAGEM ESPECIAL,Pnx 1525 ,31/03/2025,,,março
01/04/2025 11:38:21,LAVAGEM ESPECIAL,Thq3A31,01/04/2025,,VEICULO NOVO  (VN),abril
01/04/2025 11:40:01,LAVAGEM ESPECIAL,Qmt8D24,01/04/2025,Ulissis dono ,VEICULO USADO  (VU),abril
01/04/2025 11:41:04,LAVAGEM ESPECIAL,Pgx0H18,01/04/2025,Lucas diretor,VEICULO USADO  (VU),abril
01/04/2025 11:43:21,VITRICAÇÃO,Sar1E91,01/04/2025,Manutenção de vitrificação ,VEICULO USADO  (VU),abril
01/04/2025 11:49:18,LAVAGEM ESPECIAL,SKY6D35,01/04/2025,,VEICULO USADO  (VU),abril
01/04/2025 17:00:25,LAVAGEM SIMPLES,NXB8484,01/04/2025,Carro joão ,VEICULO USADO  (VU),abril
02/04/2025 10:09:23,LAVAGEM ESPECIAL,SAT4C83,02/04/2025,,VEICULO USADO  (VU),abril
03/04/2025 15:31:17,LAVAGEM ESPECIAL,DIR1A99,03/04/2025,Pintura ,CARRO DE OFICINA (CT),abril
04/04/2025 14:15:30,VITRICAÇÃO,TIK1J21,04/04/2025,,VEICULO NOVO  (VN),abril
05/04/2025 09:31:12,LAVAGEM SIMPLES,HYV4F80,05/04/2025,Carro da empresa ,VEICULO USADO  (VU),abril
05/04/2025 09:32:11,LAVAGEM SIMPLES,OSL5370,05/04/2025,Carro do Lincoln ,VEICULO USADO  (VU),abril
05/04/2025 10:16:30,LAVAGEM SIMPLES,TIE3B01,05/04/2025,,VEICULO NOVO  (VN),abril
05/04/2025 11:02:40,LAVAGEM SIMPLES,NXB8484,05/04/2025,Carro da empresa ,VEICULO USADO  (VU),abril
07/04/2025 09:37:35,LAVAGEM SIMPLES,SKW5A46,07/04/2025,,VEICULO USADO  (VU),abril
07/04/2025 16:01:33,LAVAGEM ESPECIAL,SBU0C52,07/04/2025,,VEICULO USADO  (VU),abril
08/04/2025 09:38:21,LAVAGEM SIMPLES,QFT5B68,08/04/2025,Carro chefe ,VEICULO USADO  (VU),abril
08/04/2025 10:31:44,LAVAGEM SIMPLES,THW3F08,08/04/2025,Manutenção de vitrificação ,VEICULO NOVO  (VN),abril
08/04/2025 14:56:35,LAVAGEM ESPECIAL,SBU9I02,08/04/2025,Manutenção de vitrificação ,VEICULO NOVO  (VN),abril
08/04/2025 14:57:25,LAVAGEM ESPECIAL,SAS1D16,08/04/2025,,VEICULO USADO  (VU),abril
08/04/2025 14:58:09,LAVAGEM ESPECIAL,SBO5J10,08/04/2025,,VEICULO USADO  (VU),abril
09/04/2025 11:04:36,POLIMENTO,POB:5374,09/04/2025,Pintura retorno ,VEICULO USADO  (VU),abril
09/04/2025 17:15:15,KIT CONSERVAÇÃO,PVI:1399,09/04/2025,,VEICULO USADO  (VU),abril
10/04/2025 09:38:58,LAVAGEM SIMPLES,SBR6D27,10/04/2025,Pintura pára-choque ,VEICULO USADO  (VU),abril
11/04/2025 08:19:55,KIT CONSERVAÇÃO,RIC8B97,10/04/2025,,VEICULO USADO  (VU),abril
11/04/2025 16:08:17,POLIMENTO,SBR6D27,11/04/2025,Polimento técnico ,VEICULO USADO  (VU),abril
12/04/2025 12:02:21,LAVAGEM SIMPLES,QNV2I41,12/04/2025,,VEICULO USADO  (VU),abril
14/04/2025 10:08:43,LAVAGEM SIMPLES,POJ3260,14/04/2025,Preparação para venda ,VEICULO USADO  (VU),abril
14/04/2025 12:00:45,LAVAGEM SIMPLES,PME9C95,14/04/2025,Lavagem chassi ,VEICULO USADO  (VU),abril
14/04/2025 17:29:09,KIT CONSERVAÇÃO,POX4F02,14/04/2025,,VEICULO USADO  (VU),abril
14/04/2025 17:30:32,LAVAGEM ESPECIAL,Rgk0d77,14/04/2025,,CARRO DE OFICINA (CT),abril
15/04/2025 15:38:57,MANUTENÇÃO DE VITRIFICAÇÃO,sbc7A99,15/04/2025,,VEICULO USADO  (VU),abril
15/04/2025 15:43:03,"POLIMENTO, LAVAGEM SIMPLES",TIL2F41,15/04/2025,Lateral pintura ,VEICULO NOVO  (VN),abril
