Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DE REALIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
05/03/2025 15:25:04,CARRO DE OFICINA (CT),SBK2E17,05/03/2025,,,março
05/03/2025 15:25:58,VEICULO NOVO  (VN),SL816380,05/03/2025,,,março
06/03/2025 10:12:41,VEICULO NOVO  (VN),SB101534,06/03/2025,,,março
06/03/2025 17:22:34,CARRO DE OFICINA (CT),POQ2442,06/03/2025,,,março
07/03/2025 19:11:26,CARRO DE OFICINA (CT),QSE9A44,07/03/2025,,,março
07/03/2025 19:12:06,KIT CONSERVAÇÃO,SBTOG42,07/03/2025,,,março
07/03/2025 19:12:49,CARRO DE OFICINA (CT),PND5173,07/03/2025,,,março
07/03/2025 19:13:37,KIT CONSERVAÇÃO,SAT5138,07/03/2025,,,março
07/03/2025 19:14:08,CARRO DE OFICINA (CT),POQ2442,07/03/2025,,,março
07/03/2025 19:14:41,CARRO DE OFICINA (CT),TDM1E81,07/03/2025,,,março
07/03/2025 19:15:14,CARRO DE OFICINA (CT),SBC3J00,07/03/2025,,,março
07/03/2025 19:15:49,CARRO DE OFICINA (CT),POG2020,07/03/2025,,,março
07/03/2025 19:17:23,CARRO DE OFICINA (CT),SBP3149,07/03/2025,,,março
07/03/2025 19:17:57,CARRO DE OFICINA (CT),SBQ2173,07/03/2025,,,março
07/03/2025 19:18:31,CARRO DE OFICINA (CT),SBT6147,07/03/2025,,,março
07/03/2025 19:19:03,CARRO DE OFICINA (CT),SAX4E63,07/03/2025,,,março
07/03/2025 19:19:47,CARRO DE OFICINA (CT),SAYOA64,07/03/2025,,,março
07/03/2025 19:20:15,CARRO DE OFICINA (CT),SAT1G40,07/03/2025,,,março
07/03/2025 19:20:46,KIT CONSERVAÇÃO,POT9175,07/03/2025,,,março
07/03/2025 19:21:24,CARRO DE OFICINA (CT),TDM1E84,07/03/2025,,,março
08/03/2025 09:18:53,VEICULO NOVO  (VN),Sl017673,08/03/2025,,,março
08/03/2025 19:06:20,CARRO DE OFICINA (CT),SBS9D75,08/03/2025,,,março
08/03/2025 19:06:53,CARRO DE OFICINA (CT),PMI1938,08/03/2025,,,março
08/03/2025 19:07:56,CARRO DE OFICINA (CT),SBQ2I73,08/03/2025,,,março
10/03/2025 16:57:31,"VEICULO NOVO  (VN), VITRICAÇÃO",SB104017,10/03/0025,,,março
12/03/2025 08:14:47,CARRO DE OFICINA (CT),SAI8G10,11/03/0025,,,março
12/03/2025 08:15:30,CARRO DE OFICINA (CT),SAP3D58,11/03/0025,,,março
12/03/2025 08:16:20,CARRO DE OFICINA (CT),SBC1J11,11/03/0025,,,março
12/03/2025 08:41:21,CARRO DE OFICINA (CT),SBV4H16,11/03/0025,,,março
12/03/2025 08:42:30,CARRO DE OFICINA (CT),ORY6B61,11/03/0025,,,março
12/03/2025 08:43:09,CARRO DE OFICINA (CT),SBS4F97,11/03/0025,,,março
13/03/2025 21:47:03,"VEICULO NOVO  (VN), VITRICAÇÃO",SB105128,13/03/0025,,,março
13/03/2025 21:47:40,VEICULO NOVO  (VN),SL824610,13/03/0025,,,março
13/03/2025 21:48:59,CARRO DE OFICINA (CT),OCB8578,13/03/0025,,,março
13/03/2025 21:50:49,CARRO DE OFICINA (CT),SBS8E38,13/03/0025,,,março
13/03/2025 21:51:36,CARRO DE OFICINA (CT),SAT2B09,13/03/0025,,,março
13/03/2025 21:52:40,CARRO DE OFICINA (CT),SA07C92,13/03/0025,,,março
13/03/2025 21:53:22,CARRO DE OFICINA (CT),ROK8B60,13/03/0025,,,março
13/03/2025 21:54:19,CARRO DE OFICINA (CT),TCO6F73,13/03/0025,,,março
13/03/2025 21:55:00,CARRO DE OFICINA (CT),NOY3B10,13/03/0025,,,março
13/03/2025 21:58:44,VEICULO NOVO  (VN),SB100407,12/03/0025,,,março
13/03/2025 22:00:45,VEICULO NOVO  (VN),DB104017,12/03/0025,,,março
13/03/2025 22:01:39,VEICULO NOVO  (VN),SL993022,12/03/0025,,,março
13/03/2025 22:02:16,VEICULO NOVO  (VN),SB103070,12/03/0025,,,março
13/03/2025 22:06:49,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",TIFÓE48,12/03/0025,,,março
13/03/2025 22:07:32,CARRO DE OFICINA (CT),STB7D43,12/03/0025,,,março
13/03/2025 22:08:22,CARRO DE OFICINA (CT),SBG8B63,12/03/0025,,,março
13/03/2025 22:09:05,CARRO DE OFICINA (CT),RWC6B03,12/03/0025,,,março
13/03/2025 22:09:55,CARRO DE OFICINA (CT),OCD7J97,12/03/0025,,,março
13/03/2025 22:10:37,CARRO DE OFICINA (CT),SBF2G16,12/03/0025,,,março
13/03/2025 22:11:48,KIT CONSERVAÇÃO,SBF2G16,12/03/0025,,,março
13/03/2025 22:12:33,CARRO DE OFICINA (CT),TCO6F73,12/03/0025,,,março
15/03/2025 18:42:04,VEICULO NOVO  (VN),SB104017,14/03/0025,,,março
15/03/2025 18:43:12,VEICULO NOVO  (VN),SL017673,14/03/0025,,,março
15/03/2025 18:43:46,VEICULO NOVO  (VN),SB107314,14/03/0025,,,março
15/03/2025 18:48:27,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",SBF2G16,14/03/0025,,,março
15/03/2025 18:49:09,CARRO DE OFICINA (CT),STB7D43,14/03/0025,,,março
15/03/2025 18:49:52,CARRO DE OFICINA (CT),SBG8B63,14/03/0025,,,março
15/03/2025 18:50:34,CARRO DE OFICINA (CT),RWC6B03,14/03/0025,,,março
15/03/2025 18:52:18,KIT CONSERVAÇÃO,RWC6B03,14/03/0025,,,março
15/03/2025 18:52:55,CARRO DE OFICINA (CT),OCD7J97,14/03/0025,,,março
18/03/2025 08:22:27,VEICULO NOVO  (VN),SL818594,17/03/0025,,,março
18/03/2025 08:23:02,VEICULO NOVO  (VN),SY271555,17/03/0025,,,março
18/03/2025 08:23:53,CARRO DE OFICINA (CT),TIG1A29,17/03/0025,,,março
18/03/2025 08:24:26,CARRO DE OFICINA (CT),TIA1E58,17/03/0025,,,março
18/03/2025 08:25:09,CARRO DE OFICINA (CT),RIGOC56,17/03/0025,,,março
18/03/2025 08:26:08,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",POM5327,17/03/0025,,,março
18/03/2025 08:26:45,CARRO DE OFICINA (CT),SBV1H41,17/03/0025,,,março
18/03/2025 08:27:24,CARRO DE OFICINA (CT),TCO6F73,17/03/0025,,,março
