Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DE REALIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR
31/03/2025 12:25:48,VEICULO NOVO  (VN),Tijog081,31/03/2025,,
31/03/2025 12:41:21,VEICULO USADO  (VU),Pov6jo8,31/03/2025,,
01/04/2025 14:48:20,LAVAGEM SIMPLES,P0q3c74,01/04/2025,,VEICULO NOVO  (VN)
01/04/2025 14:49:18,LAVAGEM SIMPLES,Sjo92i3,01/04/2025,,CARRO DE OFICINA (CT)
01/04/2025 14:50:02,LAVAGEM SIMPLES,Tid9g41,01/04/2025,,VEICULO NOVO  (VN)
01/04/2025 14:51:04,LAVAGEM SIMPLES,Thx7d41,01/04/2025,,VEICULO NOVO  (VN)
03/04/2025 10:24:03,VERNIZ DE MOTOR,Qqt6eo9,02/04/2025,,CARRO DE OFICINA (CT)
03/04/2025 10:27:28,LAVAGEM SIMPLES,Pno8748,02/04/2025,,CARRO DE OFICINA (CT)
03/04/2025 10:28:53,LAVAGEM SIMPLES,Qfc4d64,02/04/2025,,VEICULO USADO  (VU)
03/04/2025 11:01:09,LAVAGEM SIMPLES,209512,03/04/2025,,VEICULO NOVO  (VN)
03/04/2025 11:02:46,LAVAGEM SIMPLES,091302,03/04/2025,,VEICULO NOVO  (VN)
03/04/2025 11:03:49,LAVAGEM SIMPLES,174131,03/04/2025,,VEICULO NOVO  (VN)
03/04/2025 11:05:07,LAVAGEM SIMPLES,Sfg6do9,03/04/2025,,VEICULO NOVO  (VN)
03/04/2025 11:36:33,LAVAGEM SIMPLES,Rikoi91,03/04/2025,,VEICULO NOVO  (VN)
08/04/2025 14:26:14,LAVAGEM SIMPLES,Tig7b31,08/04/2025,,VEICULO NOVO  (VN)
08/04/2025 14:27:53,LAVAGEM SIMPLES,Thy4b21,08/04/2025,,VEICULO NOVO  (VN)
08/04/2025 18:00:38,LAVAGEM SIMPLES,Sbr8i41,08/04/2025,,VEICULO NOVO  (VN)
08/04/2025 18:01:59,LAVAGEM SIMPLES,Tig2g41,08/04/2025,,VEICULO NOVO  (VN)
