Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DA REALIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
08/03/2025 08:55:12,LAVAGEM SIMPLES,055805,08/03/2025,,VEICULO NOVO  (VN),março
10/03/2025 17:20:21,LAVAGEM SIMPLES,123757,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:21:39,LAVAGEM SIMPLES,SBD3b80,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:23:11,LAVAGEM SIMPLES,Sbd0d23,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:24:02,LAVAGEM SIMPLES,Sas4g90,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:24:47,LAVAGEM SIMPLES,Osi5e45,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:25:24,LAVAGEM SIMPLES,Rii4e13,08/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:27:57,LAVAGEM SIMPLES,Sbi0c77,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:29:02,LAVAGEM SIMPLES,Tmy3d38,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:29:40,LAVAGEM SIMPLES,Sap9a31,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:30:31,LAVAGEM SIMPLES,Sdk3g77,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:31:41,LAVAGEM SIMPLES,Sbc5d95,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:32:11,LAVAGEM SIMPLES,San4a80,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:32:52,LAVAGEM SIMPLES,Saq5i02,10/03/2025,,CARRO DE OFICINA (CT),março
10/03/2025 17:35:04,LAVAGEM SIMPLES,Sbv7b12,10/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:44:09,LAVAGEM SIMPLES,180569,06/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 08:44:59,LAVAGEM SIMPLES,169637,06/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 08:45:59,LAVAGEM SIMPLES,997542,06/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 08:47:11,LAVAGEM ESPECIAL,Sbv9i81,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:48:14,LAVAGEM SIMPLES,Tij3a28,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:49:13,LAVAGEM ESPECIAL,Sbe4i27,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:50:01,LAVAGEM SIMPLES,Sap6f61,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:51:00,LAVAGEM SIMPLES,Pob9412,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:51:52,LAVAGEM SIMPLES,Sbr3b12,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:52:55,LAVAGEM SIMPLES,Qpr7g44,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:53:46,LAVAGEM SIMPLES,Say5c29,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:54:24,LAVAGEM SIMPLES,Sbb0e33,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:55:02,LAVAGEM SIMPLES,Tap1d52,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:56:13,LAVAGEM SIMPLES,057830,06/03/2025,,VEICULO NOVO  (VN),março
02/04/2025 08:57:01,LAVAGEM SIMPLES,Saz7f23,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:57:46,LAVAGEM SIMPLES,Sax7j11,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:58:24,LAVAGEM SIMPLES,Tii3a28,06/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 08:59:56,LAVAGEM SIMPLES,Saz0b80,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:01:02,KIT CONSERVAÇÃO,Sas6d77,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:02:08,LAVAGEM SIMPLES,Sbq7d34,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:03:00,LAVAGEM SIMPLES,Sbd5i72,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:03:44,LAVAGEM SIMPLES,Sbi6e05,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:04:26,KIT CONSERVAÇÃO,Pmo0282,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:05:08,LAVAGEM SIMPLES,Rij0i71,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:05:44,LAVAGEM SIMPLES,Sar3j99,07/03/2025,,CARRO DE OFICINA (CT),março
02/04/2025 09:06:53,LAVAGEM SIMPLES,Sap0j87,07/03/2025,,CARRO DE OFICINA (CT),março
