Carimbo de data/hora,"TIPO DE SERVIÇO
",CHASSI/PLACA,DATA DA RELIZAÇÃO DO SERVIÇO,OBSERVAÇÕES,SETOR,MÊS
05/03/2025 16:11:03,VEICULO USADO  (VU),RIA9H76,05/03/2025,,,março
05/03/2025 16:11:28,VEICULO USADO  (VU),SAP8C46,05/03/2025,,,março
05/03/2025 16:11:54,VEICULO USADO  (VU),PMW9D39,05/03/2025,,,março
05/03/2025 16:12:23,VEICULO USADO  (VU),PON5F65,05/03/2025,,,março
05/03/2025 16:12:46,VEICULO USADO  (VU),SAP3I56,05/03/2025,,,março
05/03/2025 16:13:17,VEICULO USADO  (VU),SBG7G14,05/03/2025,,,março
05/03/2025 16:14:00,VEICULO USADO  (VU),SG226139,05/03/2025,,,março
06/03/2025 15:48:45,VEICULO NOVO  (VN),SAS7J11,06/03/2025,,,março
06/03/2025 15:53:29,"VEICULO NOVO  (VN), VEICULO USADO  (VU)",SBJ9D21,06/03/2025,,,março
06/03/2025 16:44:25,VEICULO USADO  (VU),SAT5D27,06/03/2025,,,março
07/03/2025 08:58:53,VEICULO NOVO  (VN),THV0H41,07/03/2025,,,março
07/03/2025 14:16:43,VEICULO NOVO  (VN),SB218795,07/03/2025,,,março
07/03/2025 14:17:09,VEICULO NOVO  (VN),SR124500,07/03/2025,,,março
07/03/2025 17:29:01,VEICULO NOVO  (VN),SB236525,07/03/2025,,,março
11/03/2025 09:45:51,VEICULO NOVO  (VN),TIF2H01,11/03/2025,,,março
11/03/2025 14:24:52,VEICULO NOVO  (VN),THN1C01,11/03/2025,,,março
13/03/2025 09:31:32,VEICULO NOVO  (VN),TID9I81,13/03/2025,,,março
13/03/2025 13:57:30,VEICULO USADO  (VU),SBH1H72,13/03/2025,,,março
13/03/2025 16:52:11,VEICULO NOVO  (VN),TIJ3A61,13/03/2025,,,março
14/03/2025 09:58:59,VEICULO NOVO  (VN),THP2A21,14/03/2025,,,março
17/03/2025 10:36:51,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",SBQ5C97,17/03/2025,,,março
17/03/2025 13:21:40,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",SBK1G07,17/03/2025,,,março
17/03/2025 14:22:43,VEICULO NOVO  (VN),SAS7J11,17/03/2025,,,março
17/03/2025 15:14:52,VEICULO USADO  (VU),SAQ4C57,17/03/2025,,,março
17/03/2025 16:16:55,VEICULO NOVO  (VN),SB188017,17/03/2025,,,março
20/03/2025 13:45:58,"CARRO DE OFICINA (CT), KIT CONSERVAÇÃO",POG8E92,20/03/2025,,,março
20/03/2025 15:31:18,VEICULO USADO  (VU),SBH0B40,20/03/2025,,,março
21/03/2025 08:29:00,VEICULO NOVO  (VN),THU1G81,20/03/2025,,,março
24/03/2025 15:17:56,VEICULO NOVO  (VN),SG217838,24/03/2025,,,março
26/03/2025 11:16:54,VEICULO NOVO  (VN),SAS7J11,26/03/2025,,,março
26/03/2025 16:07:58,VEICULO NOVO  (VN),SB196204,26/03/2025,,,março
26/03/2025 16:44:44,VEICULO NOVO  (VN),SG244654,26/03/2025,,,março
27/03/2025 10:08:09,VEICULO NOVO  (VN),SB200120,27/03/2025,,,março
27/03/2025 17:01:53,VEICULO NOVO  (VN),TIJ9C41,27/03/2025,,,março
28/03/2025 14:40:40,VEICULO NOVO  (VN),TID8F01,28/03/2025,,,março
28/03/2025 14:49:38,"VEICULO NOVO  (VN), VITRICAÇÃO",SC421028,28/03/2025,,,março
28/03/2025 15:33:18,VEICULO NOVO  (VN),SG240544,28/03/2025,,,março
28/03/2025 15:33:43,VEICULO NOVO  (VN),SG238134,28/03/2025,,,março
31/03/2025 13:36:40,"VEICULO NOVO  (VN), VITRICAÇÃO",TIJ9C41,31/03/2025,,,março
31/03/2025 15:05:32,"VEICULO NOVO  (VN), LAVAGEM SIMPLES",SG234828,31/03/2025,,,março
31/03/2025 16:40:11,"VEICULO NOVO  (VN), LAVAGEM SIMPLES",SG256605,31/03/2025,,,março
31/03/2025 16:49:31,"VEICULO NOVO  (VN), LAVAGEM SIMPLES",SB196308,31/03/2025,,,março
01/04/2025 09:43:14,LAVAGEM ESPECIAL,SAV8I20,01/04/2025,,VEICULO USADO  (VU),abril
01/04/2025 11:05:04,LAVAGEM SIMPLES,THX9I61,01/04/2025,,VEICULO NOVO  (VN),abril
01/04/2025 11:06:13,LAVAGEM SIMPLES,SB220921,01/04/2025,,VEICULO NOVO  (VN),abril
01/04/2025 14:47:50,LAVAGEM SIMPLES,THX5E21,01/04/2025,,VEICULO NOVO  (VN),abril
01/04/2025 16:36:01,LAVAGEM SIMPLES,Sg231331,01/04/2025,,VEICULO NOVO  (VN),abril
02/04/2025 08:47:22,LAVAGEM SIMPLES,SR124500,02/04/2025,,VEICULO NOVO  (VN),abril
02/04/2025 09:24:22,LAVAGEM SIMPLES,SG258453,02/04/2025,,VEICULO NOVO  (VN),abril
02/04/2025 09:53:28,LAVAGEM SIMPLES,SB221576,02/04/2025,,VEICULO NOVO  (VN),abril
02/04/2025 11:29:43,KIT CONSERVAÇÃO,SAN8B12,02/04/2025,,CARRO DE OFICINA (CT),abril
03/04/2025 09:03:50,LAVAGEM ESPECIAL,SAU2D11,03/04/2025,Manutenção de vitrificação ,VEICULO USADO  (VU),abril
03/04/2025 09:04:37,LAVAGEM SIMPLES,SR116820,03/04/2025,,VEICULO NOVO  (VN),abril
03/04/2025 09:05:40,LAVAGEM SIMPLES,SAO4F85,03/04/2025,,VEICULO USADO  (VU),abril
03/04/2025 10:39:37,KIT CONSERVAÇÃO,RIF8D14,03/04/2025,,VEICULO USADO  (VU),abril
03/04/2025 10:40:28,KIT CONSERVAÇÃO,RIF8D14,03/04/2025,,VEICULO USADO  (VU),abril
03/04/2025 15:54:15,LAVAGEM SIMPLES,SB199343,03/04/2025,,VEICULO NOVO  (VN),abril
03/04/2025 17:27:21,KIT CONSERVAÇÃO,ASA2D25,03/04/2025,,VEICULO NOVO  (VN),abril
04/04/2025 09:09:36,LAVAGEM SIMPLES,THS5I11,04/04/2025,,VEICULO NOVO  (VN),abril
05/04/2025 09:42:02,LAVAGEM SIMPLES,SG238134,05/04/2025,,VEICULO NOVO  (VN),abril
05/04/2025 09:42:44,LAVAGEM SIMPLES,SG238134,05/04/2025,,VEICULO NOVO  (VN),abril
07/04/2025 15:18:15,LAVAGEM SIMPLES,THX8I91,07/04/2025,,VEICULO NOVO  (VN),abril
07/04/2025 15:19:19,LAVAGEM SIMPLES,THS4H31,07/04/2025,,VEICULO NOVO  (VN),abril
08/04/2025 09:15:19,LAVAGEM SIMPLES,SAS7J11,08/04/2025,,VEICULO NOVO  (VN),abril
08/04/2025 10:04:49,LAVAGEM SIMPLES,SBJ9D21,08/04/2025,,VEICULO NOVO  (VN),abril
08/04/2025 14:43:05,LAVAGEM SIMPLES,SAP3I56,08/04/2025,,VEICULO USADO  (VU),abril
08/04/2025 17:25:42,LAVAGEM SIMPLES,SG257027,08/04/2025,,VEICULO NOVO  (VN),abril
09/04/2025 14:23:25,LAVAGEM ESPECIAL,PML2G35,09/04/2025,Preparação seminovo ,VEICULO USADO  (VU),abril
09/04/2025 14:23:54,LAVAGEM SIMPLES,199343,09/04/2025,,VEICULO NOVO  (VN),abril
09/04/2025 14:24:19,LAVAGEM SIMPLES,245623,09/04/2025,,VEICULO NOVO  (VN),abril
10/04/2025 09:34:08,LAVAGEM SIMPLES,TIN2G01,10/04/2025,,VEICULO NOVO  (VN),abril
10/04/2025 11:05:43,LAVAGEM SIMPLES,SG236423,10/04/2025,,VEICULO NOVO  (VN),abril
11/04/2025 11:03:06,VITRICAÇÃO,SAZ3F32,11/04/2025,Manutenção de vitrificação ,VEICULO USADO  (VU),abril
11/04/2025 13:49:42,LAVAGEM SIMPLES,POJ9054,11/04/2025,,VEICULO USADO  (VU),abril
11/04/2025 15:38:09,LAVAGEM SIMPLES,THY1C61,11/04/2025,,VEICULO NOVO  (VN),abril
11/04/2025 15:59:49,LAVAGEM SIMPLES,NUM7207,11/04/2025,Gerente semi novo ,VEICULO USADO  (VU),abril
11/04/2025 17:04:53,LAVAGEM SIMPLES,SBV4G70,11/04/2025,,VEICULO USADO  (VU),abril
12/04/2025 09:18:33,LAVAGEM SIMPLES,PMI2F92,12/04/2025,,VEICULO USADO  (VU),abril
12/04/2025 09:47:47,LAVAGEM SIMPLES,SG256260,12/04/2025,,VEICULO NOVO  (VN),abril
14/04/2025 12:02:53,LAVAGEM ESPECIAL,PNW9291,14/04/2025,"Retorno semi novo 
",VEICULO USADO  (VU),abril
14/04/2025 14:23:37,VITRICAÇÃO,TIF8E11,14/04/2025,,VEICULO NOVO  (VN),abril
15/04/2025 13:45:57,LAVAGEM ESPECIAL,SBG9C77,15/04/2025,,VEICULO USADO  (VU),abril
15/04/2025 13:46:33,LAVAGEM SIMPLES,SAP3I56,15/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 08:50:15,LAVAGEM SIMPLES,TIB1E31,16/04/2025,,VEICULO NOVO  (VN),abril
16/04/2025 09:27:35,LAVAGEM SIMPLES,THN1H72,16/04/2025,,VEICULO NOVO  (VN),abril
16/04/2025 11:30:04,LAVAGEM SIMPLES,SAV8I10,16/04/2025,,VEICULO USADO  (VU),abril
16/04/2025 13:46:52,KIT CONSERVAÇÃO,SAN1J46,16/04/2025,,CARRO DE OFICINA (CT),abril
16/04/2025 15:46:35,LAVAGEM SIMPLES,200120,16/04/2025,,VEICULO NOVO  (VN),abril
17/04/2025 08:26:18,LAVAGEM SIMPLES,THN1C82,17/04/2025,,VEICULO NOVO  (VN),abril
17/04/2025 08:26:59,PREPARAÇÃO DE SEMI-NOVO,POU6E46,17/04/2025,,VEICULO USADO  (VU),abril
17/04/2025 14:19:07,LAVAGEM SIMPLES,429617,17/04/2025,,VEICULO NOVO  (VN),abril
17/04/2025 16:21:17,LAVAGEM SIMPLES,ORS8J89,17/04/2025,,VEICULO USADO  (VU),abril
22/04/2025 09:06:36,LAVAGEM SIMPLES,171370,22/04/2025,,VEICULO NOVO  (VN),abril
22/04/2025 11:57:21,LAVAGEM SIMPLES,221576,22/04/2025,,VEICULO NOVO  (VN),abril
22/04/2025 15:09:48,LAVAGEM SIMPLES,TIF9C51,22/04/2025,,VEICULO NOVO  (VN),abril
23/04/2025 10:06:02,LAVAGEM SIMPLES,TIB9H02,23/04/2025,,VEICULO NOVO  (VN),abril
23/04/2025 10:58:17,LAVAGEM SIMPLES,115505,23/04/2025,,VEICULO NOVO  (VN),abril
23/04/2025 11:03:33,LAVAGEM SIMPLES,196210,23/04/2025,,VEICULO NOVO  (VN),abril
23/04/2025 14:10:43,LAVAGEM SIMPLES,THX6H22,23/04/2025,,VEICULO NOVO  (VN),abril
23/04/2025 14:11:29,LAVAGEM SIMPLES,113122,23/04/2025,,VEICULO NOVO  (VN),abril
24/04/2025 09:25:52,LAVAGEM SIMPLES,256605,24/04/2025,,VEICULO NOVO  (VN),abril
24/04/2025 11:44:34,PREPARAÇÃO DE SEMI-NOVO,SBE6G62,24/04/2025,Preparação ,VEICULO USADO  (VU),abril
24/04/2025 14:15:57,LAVAGEM SIMPLES,SAP3I56,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:16:32,LAVAGEM SIMPLES,SAZ1G93,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:17:11,LAVAGEM SIMPLES,SBK5B71,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:17:38,LAVAGEM SIMPLES,SBG9C77,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:18:13,LAVAGEM SIMPLES,RTO3D09,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:18:46,LAVAGEM SIMPLES,SAO4F85,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 14:19:42,LAVAGEM SIMPLES,PNX6H35,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 15:51:03,LAVAGEM SIMPLES,SBG4A56,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 15:51:29,LAVAGEM SIMPLES,SBI7H35,24/04/2025,,VEICULO USADO  (VU),abril
24/04/2025 15:51:57,LAVAGEM SIMPLES,SAV8I10,24/04/2025,,VEICULO USADO  (VU),abril
25/04/2025 10:20:18,LAVAGEM SIMPLES,114647,25/04/2025,,VEICULO NOVO  (VN),abril
25/04/2025 15:41:22,LAVAGEM SIMPLES,THQ4G12,25/04/2025,,VEICULO NOVO  (VN),abril
29/04/2025 15:06:34,PREPARAÇÃO DE SEMI-NOVO,SAX2F30,29/04/2025,,VEICULO USADO  (VU),abril
29/04/2025 15:07:04,LAVAGEM SIMPLES,RIG4I99,29/04/2025,,VEICULO USADO  (VU),abril
